"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login Test Cases on SauceDemo","Login scenarios","0","0","5","0","0"
"","Product Screen Test Cases on SauceDemo","Filter products by name","0","0","1","0","0"
"","Product Screen Test Cases on SauceDemo","Remove a product from the cart from the product screen","0","0","1","0","0"
"","Product Screen Test Cases on SauceDemo","Logout the user from the SauceDemo Website","0","0","1","0","0"
"","Checkout operations on SauceDemo","Fail to complete checkout due to missing first name","0","0","1","0","0"
"","Cart operations on SauceDemo","Proceed to checkout from the cart","0","0","1","0","0"
"","Cart operations on SauceDemo","Verify products in the cart","0","0","1","0","0"
"","Checkout operations on SauceDemo","Successfully complete checkout","0","0","1","0","0"
